Title,Year,Format,AVS,Catalogue
3:10 to Yuma,2007,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57003960,https://beqcatalogue.readthedocs.io/en/latest/57003960/
47 Meters Down,2017,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59498046,https://beqcatalogue.readthedocs.io/en/latest/59498046/
47 Meters Down:Uncaged,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58772570,https://beqcatalogue.readthedocs.io/en/latest/58772570/
47 Ronin,2013,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58070762,https://beqcatalogue.readthedocs.io/en/latest/58070762/
500 MPH Storm,2013,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57464304,https://beqcatalogue.readthedocs.io/en/latest/57464304/
The 5th Wave,2016,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56720154,https://beqcatalogue.readthedocs.io/en/latest/56720154/
7500,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59817644,https://beqcatalogue.readthedocs.io/en/latest/59817644/
9,2009,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57282106,https://beqcatalogue.readthedocs.io/en/latest/57282106/
Acceleration,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59063754,https://beqcatalogue.readthedocs.io/en/latest/59063754/
Abominable,2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58929892,https://beqcatalogue.readthedocs.io/en/latest/58929892/
Abraham Lincoln:Vampire Hunter,2012,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58305336,https://beqcatalogue.readthedocs.io/en/latest/58305336/
The Accountant,2017,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56760614,https://beqcatalogue.readthedocs.io/en/latest/56760614/
Act of Valor,2012,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56841138,https://beqcatalogue.readthedocs.io/en/latest/56841138/
Ad Astra,2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58928298,https://beqcatalogue.readthedocs.io/en/latest/58928298/
The Addams Family,2019,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59120350,https://beqcatalogue.readthedocs.io/en/latest/59120350/
Adrift,2018,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56720236,https://beqcatalogue.readthedocs.io/en/latest/56720236/
The Adventures of Tintin,2011,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57647818,https://beqcatalogue.readthedocs.io/en/latest/57647818/
Aftermath,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58247790,https://beqcatalogue.readthedocs.io/en/latest/58247790/
Age of Adaline,2015,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58302864,https://beqcatalogue.readthedocs.io/en/latest/58302864/
Air Force One,1997,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57081000,https://beqcatalogue.readthedocs.io/en/latest/57081000/
Aladdin (2019),2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58479748,https://beqcatalogue.readthedocs.io/en/latest/58479748/
Alien,1979,Director's Cut DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56868444,https://beqcatalogue.readthedocs.io/en/latest/56868444/
Aliens,1986,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56868504,https://beqcatalogue.readthedocs.io/en/latest/56868504/
Alien 3,1992,DC DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56868652,https://beqcatalogue.readthedocs.io/en/latest/56868652/
Alien Resurrection,1997,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56869036,https://beqcatalogue.readthedocs.io/en/latest/56869036/
Alien:Covenant,2017,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56777062,https://beqcatalogue.readthedocs.io/en/latest/56777062/
Alien vs Predator,2004,Unrated DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57520316,https://beqcatalogue.readthedocs.io/en/latest/57520316/
Alien vs Predator: Requiem,2007,Unrated DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57520380,https://beqcatalogue.readthedocs.io/en/latest/57520380/
Alita: Battle Angel,2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58275024,https://beqcatalogue.readthedocs.io/en/latest/58275024/
Allied,2016,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56747500,https://beqcatalogue.readthedocs.io/en/latest/56747500/
Alpha,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57087802,https://beqcatalogue.readthedocs.io/en/latest/57087802/
Alter Bridge,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57400242,https://beqcatalogue.readthedocs.io/en/latest/57400242/
American Animals,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56701347,https://beqcatalogue.readthedocs.io/en/latest/56701347/
American Assassin,2017,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56753210,https://beqcatalogue.readthedocs.io/en/latest/56753210/
American Gangster Extended,2007,Extended DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58716860,https://beqcatalogue.readthedocs.io/en/latest/58716860/
American Made,2017,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57684300,https://beqcatalogue.readthedocs.io/en/latest/57684300/
American Psycho,2000,Uncut Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56869738,https://beqcatalogue.readthedocs.io/en/latest/56869738/
American Sniper,2014,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56743286,https://beqcatalogue.readthedocs.io/en/latest/56743286/
